               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090913,            0.018009,            0.034738,             0.71854,              0.1909,             0.17271,             0.06166,            0.066979,            0.019045,            0.020837,             0.07004,           0.0033289,           0.0033289
                   1,            0.066538,            0.016701,            0.014772,             0.57634,             0.39258,              0.3715,             0.15628,            0.056585,            0.016292,            0.012102,            0.039974,           0.0065963,           0.0065963
                   2,            0.061002,            0.015318,            0.010992,             0.65258,             0.43684,             0.45891,             0.20017,            0.055807,            0.016003,           0.0098206,           0.0098419,           0.0097977,           0.0097977
                   3,            0.057709,            0.014999,           0.0090464,             0.63021,             0.57115,             0.59651,             0.27681,            0.047249,            0.014948,           0.0072325,            0.009703,            0.009703,            0.009703
                   4,            0.052449,            0.013769,           0.0070016,             0.76871,             0.64724,             0.70772,             0.37889,            0.040156,            0.013606,           0.0063951,            0.009703,            0.009703,            0.009703
                   5,            0.049226,            0.013059,           0.0058086,             0.78182,             0.68022,             0.75705,             0.40697,            0.039202,            0.012239,           0.0043524,            0.009604,            0.009604,            0.009604
                   6,            0.046129,            0.012383,           0.0043172,             0.76783,              0.7303,             0.78905,             0.40674,            0.037811,             0.01179,           0.0038475,            0.009505,            0.009505,            0.009505
                   7,            0.043976,            0.011981,           0.0043572,             0.83721,             0.70649,              0.7968,             0.43863,            0.036945,            0.011881,           0.0036778,            0.009406,            0.009406,            0.009406
                   8,            0.042662,            0.011609,           0.0036535,             0.82336,             0.79387,             0.84107,             0.47853,            0.035404,            0.010785,           0.0024101,            0.009307,            0.009307,            0.009307
                   9,            0.041828,            0.011482,           0.0034012,              0.8301,             0.80272,             0.83648,             0.48414,            0.033927,            0.010673,           0.0029087,            0.009208,            0.009208,            0.009208
                  10,            0.040313,            0.010979,           0.0031045,             0.86062,             0.80103,             0.85549,              0.5106,            0.032086,            0.010628,           0.0020177,            0.009109,            0.009109,            0.009109
                  11,             0.03982,            0.010938,           0.0030506,             0.88265,             0.81808,             0.88228,             0.52833,             0.03191,            0.010099,           0.0017281,             0.00901,             0.00901,             0.00901
                  12,            0.038698,            0.010488,           0.0025614,             0.83566,             0.74488,             0.81274,             0.47503,            0.034019,            0.011364,           0.0030082,            0.008911,            0.008911,            0.008911
                  13,            0.038025,            0.010326,           0.0024295,             0.89762,             0.82776,             0.88847,             0.54992,            0.030403,           0.0099011,           0.0017926,            0.008812,            0.008812,            0.008812
                  14,            0.037269,            0.010274,           0.0024511,             0.84924,             0.82537,             0.87857,             0.53503,            0.030513,            0.010022,           0.0020316,            0.008713,            0.008713,            0.008713
