Data,ReLU,Swish,DerivativeofRelu,DerivativeofSwish,
-5.0,0.0,-0.03346425462142428,0,-5.166201416769754,
-4.5,0.0,-0.04944124183766931,0,-4.720041151875061,
-4.0,0.0,-0.07194483984836623,0,-4.282603299412657,
-3.5,0.0,-0.10259280762974712,0,-3.8485495425267606,
-3.0,0.0,-0.14227761953270035,0,-3.4065899375782087,
-2.5,0.0,-0.18964545005310887,0,-2.9381482284069262,
-2.0,0.0,-0.2384058440442351,0,-2.419974341614026,
-1.5,0.0,-0.2736382857095345,0,-1.8355795171582492,
-1.0,0.0,-0.2689414213699951,0,-1.196611933241482,
-0.5,0.0,-0.1887703343990727,0,-0.5587509280503986,
0.0,0.0,0.0,0,0.0,
0.5,0.5,0.3112296656009273,1,0.4412490719496014,
1.0,1.0,0.7310585786300049,1,0.8033880667585181,
1.5,1.5,1.2263617142904655,1,1.164420482841751,
2.0,2.0,1.7615941559557646,1,1.5800256583859738,
2.5,2.5,2.3103545499468914,1,2.061851771593074,
3.0,3.0,2.8577223804672998,1,2.593410062421791,
3.5,3.5,3.3974071923702525,1,3.151450457473239,
4.0,4.0,3.928055160151634,1,3.7173967005873423,
4.5,4.5,4.450558758162331,1,4.27995884812494,



















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































