                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9641,                 3.2205,                 1.4256,                0.69147,                0.47982,                0.53412,                0.30921,                  1.701,                 1.6758,                  1.302,               0.070068,              0.0033257,              0.0033257
                      1,                 1.5733,                 1.3147,                 1.1669,                0.76538,                0.55683,                0.63706,                0.37781,                 1.5588,                 1.4179,                 1.2016,               0.040003,              0.0065931,              0.0065931
                      2,                 1.4977,                 1.1466,                 1.1183,                0.78367,                0.64731,                0.73151,                0.44484,                 1.4294,                 1.3076,                 1.1234,              0.0098706,              0.0097945,              0.0097945
                      3,                 1.4412,                 1.0515,                 1.0966,                0.66216,                0.49381,                0.51857,                0.31239,                 1.6131,                 1.9532,                  1.253,               0.009703,               0.009703,               0.009703
                      4,                 1.3525,                0.92483,                 1.0656,                0.88141,                0.78804,                0.86973,                0.57679,                 1.1405,                0.70613,                  1.018,               0.009703,               0.009703,               0.009703
                      5,                 1.2776,                0.83439,                 1.0369,                0.85801,                0.78825,                0.86122,                0.55735,                 1.1803,                0.74352,                 1.0238,               0.009604,               0.009604,               0.009604
                      6,                 1.2163,                 0.7732,                 1.0143,                0.91138,                0.84797,                0.91229,                0.61789,                 1.0717,                0.65507,                0.99423,               0.009505,               0.009505,               0.009505
                      7,                 1.1719,                0.73583,                 1.0003,                0.91037,                0.81336,                0.89044,                0.60553,                 1.0776,                0.67219,                0.99737,               0.009406,               0.009406,               0.009406
                      8,                 1.1354,                0.69882,                0.99076,                0.94553,                 0.8607,                0.93269,                 0.6453,                0.99376,                0.58592,                0.96888,               0.009307,               0.009307,               0.009307
                      9,                 1.1009,                0.66906,                0.97792,                0.93601,                0.87779,                0.93982,                0.65386,                0.96566,                0.53662,                0.95892,               0.009208,               0.009208,               0.009208
                     10,                 1.0733,                0.65328,                0.97034,                0.93962,                 0.8741,                0.93029,                0.65793,                0.95876,                  0.539,                0.95427,               0.009109,               0.009109,               0.009109
